Twitter ID,Screen name,Verification,Followers
1881479405458935808,Pfeiffer47,Government,17023
895332160130891776,neuralink,Business,1572531
1879670389057474560,PressSec,Government,1040170
1879960935126708224,USGSAStephenE,Government,3833
1320917783597625349,DataRepublican,Premium,703170
1843516103085174785,spacey1137700,Premium,1504
153149305,SBAgov,Government,565648
44783853,HHSGov,Government,1586159
20179628,USDOL,Government,520264
2892546322,Boots2Business,,5187
16613128,CBP,Government,479677
22263651,SCOREMentors,Business,62686
964227358218649600,CISAgov,Government,297528
16028241,Readygov,Government,175509
1407818794257498116,GSACarnahan,,2526
15647676,DHSgov,Government,2426015
61583656,USGSA,Government,46837
1856751787644260354,DOGE,Government,4725834
