Twitter ID,Screen name,Verification,Followers
1879255653459607552,yechielleiter,Government,7170
1936465909222408192,Isabella_im38,Premium,1648
2161051908,AvivaKlompas,Premium,314453
1713258704785887232,Facts_For_Peace,Premium,20808
1237907755819773953,ShabbosK,Premium,34633
1897449624467857411,ArgamaniNoa,Premium,16335
2167177693,JewsFightBack,Premium,56499
1711751680331599872,bringhomenow,Premium,35549
1048229681273741312,StopAntisemites,Premium,330248
232901331,dbongino,Premium,6756474
1212806053907185664,TheLeoTerrell,Premium,2508169
93637779,AdamMilstein,Premium,184613
834463834454777856,cjvalues,Premium,3176
41636475,ymenken,Premium,7253
862980936,ChaskelBennett,Premium,15671
63525003,YossiGestetner,Premium,71596
1879650942410481666,POTUS,Government,2961759
73181712,TheJusticeDept,Government,2159303
221135570,CivilRights,,68195
1911884791911231489,AAGDhillon,Government,41817
1886531809284173824,AGPamBondi,Government,812155
1879644163769335808,WhiteHouse,Government,1340071
1879652428490149888,VP,Government,888502
25073877,realDonaldTrump,Government,102445550
1881451105454002176,RapidResponse47,Government,838180
